@id,bn:s00065652n,full_coverage
skos:broader{URIRef}[0],bn:s00024097n,skos:broader{URIRef}[0]
skos:broader{URIRef}[1],bn:s00030632n,skos:broader{URIRef}[1]
skos:broader{URIRef}[2],bn:s00044576n,skos:broader{URIRef}[2]
skos:broader{URIRef}[3],bn:s00065648n,skos:broader{URIRef}[3]
bn-lemon:synsetID{Literal},bn:00065652n,bn-lemon:synsetID{Literal}
bn-lemon:synsetType{Literal},NE,bn-lemon:synsetType{Literal}
dcterms:license{URIRef},http://creativecommons.org/licenses/by-nc-sa/3.0/,dcterms:license{URIRef}
lexinfo:derivedForm{URIRef},bn:s00113602a,lexinfo:derivedForm{URIRef}
lexinfo:memberHolonym{URIRef},bn:s00042878n,lexinfo:memberHolonym{URIRef}
rdf:type{URIRef},skos:Concept,rdf:type{URIRef}
skos:exactMatch{URIRef}[0],dbpedia:Queen_Victoria,skos:exactMatch{URIRef}[0]
skos:exactMatch{URIRef}[1],freebase:m.0cw10,skos:exactMatch{URIRef}[1]
skos:exactMatch{URIRef}[2],lemon-WordNet31:111385852-n,skos:exactMatch{URIRef}[2]
skos:exactMatch{URIRef}[3],yago:Queen_Victoria,skos:exactMatch{URIRef}[3]
skos:narrower{URIRef}[0],bn:s01737983n,skos:narrower{URIRef}[0]
skos:narrower{URIRef}[1],bn:s02289208n,skos:narrower{URIRef}[1]
skos:narrower{URIRef}[2],bn:s03301709n,skos:narrower{URIRef}[2]
entity,bn:s00065652n,entity
