@id,http://id.worldcat.org/fast/1037825,prop,http://id.loc.gov/authorities/subjects/sh97003090,_merge
0,1037825,1037825,,left_only
1,1967 A.D.,1967 A.D.,1967 A.D.,both
2,1967 A.D.,1967 A.D.,1967 A.D.,both
3,"Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.",both
4,"Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.",both
5,"Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.",both
6,"Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.",both
7,"Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.",both
8,"Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.",both
9,http://id.loc.gov/authorities/subjects/sh97003090,http://id.loc.gov/authorities/subjects/sh97003090,http://id.loc.gov/authorities/subjects/sh97003090,both
10,schema:Intangible,schema:Intangible,,left_only
11,http://id.worldcat.org/fast/1037817,http://id.worldcat.org/fast/1037817,,left_only
12,http://id.worldcat.org/fast/ontology/1.0/#facet-Topical,http://id.worldcat.org/fast/ontology/1.0/#facet-Topical,,left_only
13,http://id.worldcat.org/fast/ontology/1.0/#fast,http://id.worldcat.org/fast/ontology/1.0/#fast,,left_only
14,http://id.worldcat.org/fast/1037825,http://id.worldcat.org/fast/1037825,http://id.worldcat.org/fast/1037825,both
15,,madsrdf:Authority,madsrdf:Authority,right_only
16,,madsrdf:Topic,madsrdf:Topic,right_only
17,,skos:Concept,skos:Concept,right_only
18,,http://id.loc.gov/resources/works/14013797,http://id.loc.gov/resources/works/14013797,right_only
19,,http://id.loc.gov/resources/works/15678111,http://id.loc.gov/resources/works/15678111,right_only
20,,http://id.loc.gov/resources/works/19285669,http://id.loc.gov/resources/works/19285669,right_only
21,,http://id.loc.gov/resources/works/19398396,http://id.loc.gov/resources/works/19398396,right_only
22,,http://id.loc.gov/resources/works/19582948,http://id.loc.gov/resources/works/19582948,right_only
23,,http://id.loc.gov/resources/works/19584451,http://id.loc.gov/resources/works/19584451,right_only
24,,http://id.loc.gov/resources/works/19756144,http://id.loc.gov/resources/works/19756144,right_only
25,,http://id.loc.gov/resources/works/20383981,http://id.loc.gov/resources/works/20383981,right_only
26,,http://id.loc.gov/resources/works/20981456,http://id.loc.gov/resources/works/20981456,right_only
27,,http://id.loc.gov/resources/works/719908,http://id.loc.gov/resources/works/719908,right_only
28,,sh 97003090,sh 97003090,right_only
29,,Na7ca6f46c482492dbccfbb04883f8b0b,Na7ca6f46c482492dbccfbb04883f8b0b,right_only
30,,Nd2ed1b5abf634c2e90e88a512909333c,Nd2ed1b5abf634c2e90e88a512909333c,right_only
31,,N0cca45b633cc4ebca88522af99c9f64d,N0cca45b633cc4ebca88522af99c9f64d,right_only
32,,http://id.loc.gov/authorities/subjects/sh96005475,http://id.loc.gov/authorities/subjects/sh96005475,right_only
33,,http://data.bnf.fr/ark:/12148/cb131884682,http://data.bnf.fr/ark:/12148/cb131884682,right_only
34,,http://www.wikidata.org/entity/Q2648,http://www.wikidata.org/entity/Q2648,right_only
35,,N22cb1307b11f496bb9093fabc768d606,N22cb1307b11f496bb9093fabc768d606,right_only
36,,Na2f1c7d55e804d3aa25e23a4f2fcc353,Na2f1c7d55e804d3aa25e23a4f2fcc353,right_only
37,,Nadc6885ee1bd48a29592ae9dd1489f0e,Nadc6885ee1bd48a29592ae9dd1489f0e,right_only
38,,Nf7fd7bf645af4c9f884f2ac841e8d060,Nf7fd7bf645af4c9f884f2ac841e8d060,right_only
39,,http://id.loc.gov/authorities/subjects/collection_LCSHAuthorizedHeadings,http://id.loc.gov/authorities/subjects/collection_LCSHAuthorizedHeadings,right_only
40,,http://id.loc.gov/authorities/subjects/collection_LCSH_General,http://id.loc.gov/authorities/subjects/collection_LCSH_General,right_only
41,,http://id.loc.gov/authorities/subjects,http://id.loc.gov/authorities/subjects,right_only
42,,http://id.loc.gov/authorities/sh97003090#concept,http://id.loc.gov/authorities/sh97003090#concept,right_only
43,,info:lc/authorities/sh97003090,info:lc/authorities/sh97003090,right_only
44,,Nf787beae74444898a10a3c76e78ca805,Nf787beae74444898a10a3c76e78ca805,right_only
45,,Nf8a5a1d06259467eabc8d983cc0db992,Nf8a5a1d06259467eabc8d983cc0db992,right_only
46,,N2ab3d8a0021e4e93bf1dd5f5adfcfa57,N2ab3d8a0021e4e93bf1dd5f5adfcfa57,right_only
47,,N765768b3003546efab70a4b8f82a26ec,N765768b3003546efab70a4b8f82a26ec,right_only
48,,Na9471151f7144e10a511a160bcfc2326,Na9471151f7144e10a511a160bcfc2326,right_only
